386,Badföreståndare
5496,Badmästare
5990,Badvakt
7371,Badvaktmästare
5504,Bagare/Konditor
7447,Bagerichef
4742,Bakteriolog
5406,Balettmästare
5564,Ballongflygare
5286,Balpressare
7170,"Banarbetare, utan behörighetsbevis"
7214,Bandlastarförare
7213,Bandschaktarförare
4351,Bandsågare
2707,"Bandsågare, metall"
1341,"Bandsågare, träfiberskivor"
1303,Bandvävare
6650,Bangårdsoperatör
4881,Bankdirektör
6178,Bankjurist
5033,Banområdeschef
2319,Bantekniker
2122,Baptistpastor
7339,Barchef
6762,Barista/Kaffebartender
496,"Barkmaskinskötare, skogsbruk"
744,"Barkmaskinskötare, sågverk"
6763,Barmästare
438,Barnflicka/Barnvakt
5701,Barnmorska
6648,"Barnmorska, förlossning"
7272,"Barnmorska, ungdomsmottagning"
1433,"Barnmorska, vårdavdelning/BB-avdelning"
1434,"Barnmorska, öppen vård/mödravård"
6473,Barnombudsman
1468,Barnpsykolog
5759,Barnsjuksköterska
7273,"Barnsjuksköterska, akutmottagning"
1820,"Barnsjuksköterska, mottagning/vårdcentral"
1821,"Barnsjuksköterska, vårdavdelning"
5716,Barnskötare
7419,Barnsköterska
1475,Barnterapeut
1777,Barntimmeledare
5488,Bartender
314,Batteriarbetare/Ackumulatorarbetare
7271,Baxare
5313,Bebyggelseantikvarie
7648,"Befaren maskinpersonal, sjöfart"
1443,Befolkningsstatistiker
2774,Befraktare
5368,Befälhavare
1205,"Befälhavare, kustbevakningen"
257,Begravningsassistent
258,Begravningsbyråföreståndare
5497,Begravningsentreprenör
6880,Begravningsrådgivare
5711,Behandlingsassistent/Socialpedagog
4031,Belysningsmästare
3535,Belysningstekniker
2325,Beläggningsarbetare
7169,"Beläggningsarbetare, utan yrkesbevis"
505,Beläggningsmaskinförare
3921,Ben- och fotanfångare
3922,Benmakare
5852,Bensinstationsbiträde/Servicebiträde
7161,Bensinstationsföreståndare/Stationschef
5694,Bergarbetare
1376,"Bergarbetare, gruva"
7171,"Bergarbetare, utan yrkesbevis"
7256,Bergförstärkare
1826,Berggrundsgeolog
7250,Berglastare
187,Bergsingenjör
1389,Bergsprängare
4222,"Beräkningsingenjör, elkraft"
77,"Beräkningsingenjör, el-tele"
377,Besiktningsassistent
164,Besiktningsingenjör
625,"Besiktningsingenjör, bilprovning"
4243,"Besiktningsingenjör, elkraft"
96,"Besiktningsingenjör, el-tele"
2565,"Besiktningsingenjör, försäkring"
5920,"Besiktningsman/Skadeinspektör, försäkring"
624,"Besiktningstekniker, bilprovning"
470,Bespisningsbiträde/Skolmåltidsbiträde
2982,Beställningsfaktor
4903,Beställningskontorist
5375,Besöksbokare/Kundbokare
5499,Betjänt
5810,Betongarbetare
7172,"Betongarbetare, utan yrkesbevis"
6204,Betongblandare
7191,Betongelementmontör
5862,Betonghåltagare
